repositorio,url,pull_requests_aceitas
ggml-org/whisper.cpp,https://github.com/ggml-org/whisper.cpp,1025
aaif-goose/goose,https://github.com/aaif-goose/goose,5942
microsoft/VibeVoice,https://github.com/microsoft/VibeVoice,41
lyswhut/lx-music-desktop,https://github.com/lyswhut/lx-music-desktop,101
dockur/windows,https://github.com/dockur/windows,910
sickcodes/Docker-OSX,https://github.com/sickcodes/Docker-OSX,109
hesreallyhim/awesome-claude-code,https://github.com/hesreallyhim/awesome-claude-code,221
ionic-team/ionic-framework,https://github.com/ionic-team/ionic-framework,6796
jesseduffield/lazydocker,https://github.com/jesseduffield/lazydocker,195
lllyasviel/Fooocus,https://github.com/lllyasviel/Fooocus,448
prettier/prettier,https://github.com/prettier/prettier,10242
xai-org/grok-1,https://github.com/xai-org/grok-1,5
etcd-io/etcd,https://github.com/etcd-io/etcd,10619
bmad-code-org/BMAD-METHOD,https://github.com/bmad-code-org/BMAD-METHOD,842
VoltAgent/awesome-openclaw-skills,https://github.com/VoltAgent/awesome-openclaw-skills,150
anthropics/claude-cookbooks,https://github.com/anthropics/claude-cookbooks,198
google/guava,https://github.com/google/guava,1440
dkhamsing/open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,1714
run-llama/llama_index,https://github.com/run-llama/llama_index,7946
expo/expo,https://github.com/expo/expo,23867
Avik-Jain/100-Days-Of-ML-Code,https://github.com/Avik-Jain/100-Days-Of-ML-Code,6
jekyll/jekyll,https://github.com/jekyll/jekyll,3205
diegosouzapw/OmniRoute,https://github.com/diegosouzapw/OmniRoute,5556
dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,7362
charlax/professional-programming,https://github.com/charlax/professional-programming,44
poteto/hiring-without-whiteboards,https://github.com/poteto/hiring-without-whiteboards,1335
DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,53492
ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,9279
justjavac/wechat-miniapp-radar,https://github.com/justjavac/wechat-miniapp-radar,313
Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,356
cypress-io/cypress,https://github.com/cypress-io/cypress,8857
jamiepine/voicebox,https://github.com/jamiepine/voicebox,147
CherryHQ/cherry-studio,https://github.com/CherryHQ/cherry-studio,4971
bannedbook/fanqiang,https://github.com/bannedbook/fanqiang,3
nlohmann/json,https://github.com/nlohmann/json,1159
mastodon/mastodon,https://github.com/mastodon/mastodon,20653
TanStack/query,https://github.com/TanStack/query,3829
skylot/jadx,https://github.com/skylot/jadx,654
serhii-londar/open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,615
AlistGo/alist,https://github.com/AlistGo/alist,974
jgthms/bulma,https://github.com/jgthms/bulma,646
chenglou/pretext,https://github.com/chenglou/pretext,7
tldraw/tldraw,https://github.com/tldraw/tldraw,5541
huginn/huginn,https://github.com/huginn/huginn,1179
Lordog/dive-into-llms,https://github.com/Lordog/dive-into-llms,11
NARKOZ/hacker-scripts,https://github.com/NARKOZ/hacker-scripts,63
stablyai/orca,https://github.com/stablyai/orca,7874
jakevdp/PythonDataScienceHandbook,https://github.com/jakevdp/PythonDataScienceHandbook,28
roboflow/supervision,https://github.com/roboflow/supervision,1382
pandas-dev/pandas,https://github.com/pandas-dev/pandas,29418
kelseyhightower/kubernetes-the-hard-way,https://github.com/kelseyhightower/kubernetes-the-hard-way,73
hashicorp/terraform,https://github.com/hashicorp/terraform,13651
ChromeDevTools/chrome-devtools-mcp,https://github.com/ChromeDevTools/chrome-devtools-mcp,1144
chen08209/FlClash,https://github.com/chen08209/FlClash,2
ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse,69224
astral-sh/ruff,https://github.com/astral-sh/ruff,16044
Homebrew/brew,https://github.com/Homebrew/brew,15251
x64dbg/x64dbg,https://github.com/x64dbg/x64dbg,825
GokuMohandas/Made-With-ML,https://github.com/GokuMohandas/Made-With-ML,147
apple/container,https://github.com/apple/container,733
calesthio/OpenMontage,https://github.com/calesthio/OpenMontage,93
JuliaLang/julia,https://github.com/JuliaLang/julia,27808
bigskysoftware/htmx,https://github.com/bigskysoftware/htmx,1190
metabase/metabase,https://github.com/metabase/metabase,46119
akullpp/awesome-java,https://github.com/akullpp/awesome-java,808
tmux/tmux,https://github.com/tmux/tmux,37
algorithm-visualizer/algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,183
iamkun/dayjs,https://github.com/iamkun/dayjs,730
upscayl/upscayl,https://github.com/upscayl/upscayl,106
DovAmir/awesome-design-patterns,https://github.com/DovAmir/awesome-design-patterns,30
mudler/LocalAI,https://github.com/mudler/LocalAI,6731
KRTirtho/spotube,https://github.com/KRTirtho/spotube,261
nilbuild/design-patterns-for-humans,https://github.com/nilbuild/design-patterns-for-humans,50
type-challenges/type-challenges,https://github.com/type-challenges/type-challenges,600
Aider-AI/aider,https://github.com/Aider-AI/aider,288
brillout/awesome-react-components,https://github.com/brillout/awesome-react-components,343
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,3590
hugohe3/ppt-master,https://github.com/hugohe3/ppt-master,32
slidevjs/slidev,https://github.com/slidevjs/slidev,901
moeru-ai/airi,https://github.com/moeru-ai/airi,1237
router-for-me/CLIProxyAPI,https://github.com/router-for-me/CLIProxyAPI,695
pixijs/pixijs,https://github.com/pixijs/pixijs,3885
moment/moment,https://github.com/moment/moment,758
karan/Projects,https://github.com/karan/Projects,19
HKUDS/CLI-Anything,https://github.com/HKUDS/CLI-Anything,187
calcom/cal.diy,https://github.com/calcom/cal.diy,13099
microsoft/qlib,https://github.com/microsoft/qlib,756
gogs/gogs,https://github.com/gogs/gogs,1958
bevyengine/bevy,https://github.com/bevyengine/bevy,8644
minimaxir/big-list-of-naughty-strings,https://github.com/minimaxir/big-list-of-naughty-strings,89
lukasz-madon/awesome-remote-job,https://github.com/lukasz-madon/awesome-remote-job,628
discourse/discourse,https://github.com/discourse/discourse,37251
prisma/prisma,https://github.com/prisma/prisma,7060
oobabooga/textgen,https://github.com/oobabooga/textgen,1273
GitHubDaily/GitHubDaily,https://github.com/GitHubDaily/GitHubDaily,3
acmesh-official/acme.sh,https://github.com/acmesh-official/acme.sh,1627
jeecgboot/JeecgBoot,https://github.com/jeecgboot/JeecgBoot,133
dypsilon/frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,129
coreybutler/nvm-windows,https://github.com/coreybutler/nvm-windows,107
slab/quill,https://github.com/slab/quill,382
rohitg00/ai-engineering-from-scratch,https://github.com/rohitg00/ai-engineering-from-scratch,185
HKUDS/nanobot,https://github.com/HKUDS/nanobot,1522
typescript-cheatsheets/react,https://github.com/typescript-cheatsheets/react,387
elder-plinius/CL4R1T4S,https://github.com/elder-plinius/CL4R1T4S,0
lysine-dev/okhttp,https://github.com/lysine-dev/okhttp,4161
multica-ai/multica,https://github.com/multica-ai/multica,3220
gedoor/legado,https://github.com/gedoor/legado,0
KeygraphHQ/shannon,https://github.com/KeygraphHQ/shannon,128
v2ray/v2ray-core,https://github.com/v2ray/v2ray-core,203
serverless/serverless,https://github.com/serverless/serverless,5142
exo-explore/exo,https://github.com/exo-explore/exo,770
kepano/obsidian-skills,https://github.com/kepano/obsidian-skills,16
Asabeneh/30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,100
hiroi-sora/Umi-OCR,https://github.com/hiroi-sora/Umi-OCR,58
SimplifyJobs/Summer2027-Internships,https://github.com/SimplifyJobs/Summer2027-Internships,1675
zhayujie/CowAgent,https://github.com/zhayujie/CowAgent,411
microsoft/monaco-editor,https://github.com/microsoft/monaco-editor,668
apache/airflow,https://github.com/apache/airflow,39733
usebruno/bruno,https://github.com/usebruno/bruno,2671
LeCoupa/awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,175
9001/copyparty,https://github.com/9001/copyparty,211
Alishahryar1/free-claude-code,https://github.com/Alishahryar1/free-claude-code,319
docker/awesome-compose,https://github.com/docker/awesome-compose,153
ziishaned/learn-regex,https://github.com/ziishaned/learn-regex,132
iina/iina,https://github.com/iina/iina,1017
RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,16929
jgm/pandoc,https://github.com/jgm/pandoc,1801
coqui-ai/TTS,https://github.com/coqui-ai/TTS,467
siyuan-note/siyuan,https://github.com/siyuan-note/siyuan,953
cli/cli,https://github.com/cli/cli,3143
helix-editor/helix,https://github.com/helix-editor/helix,4875
DavidHDev/react-bits,https://github.com/DavidHDev/react-bits,214
DIYgod/RSSHub,https://github.com/DIYgod/RSSHub,13174
zhongyang219/TrafficMonitor,https://github.com/zhongyang219/TrafficMonitor,79
android/architecture-samples,https://github.com/android/architecture-samples,233
QuantumNous/new-api,https://github.com/QuantumNous/new-api,1283
milvus-io/milvus,https://github.com/milvus-io/milvus,26961
google/zx,https://github.com/google/zx,617
karanpratapsingh/system-design,https://github.com/karanpratapsingh/system-design,14
abhigyanpatwari/GitNexus,https://github.com/abhigyanpatwari/GitNexus,1254
streamlit/streamlit,https://github.com/streamlit/streamlit,8376
ColorlibHQ/AdminLTE,https://github.com/ColorlibHQ/AdminLTE,1583
Leaflet/Leaflet,https://github.com/Leaflet/Leaflet,3327
jestjs/jest,https://github.com/jestjs/jest,5965
isocpp/CppCoreGuidelines,https://github.com/isocpp/CppCoreGuidelines,830
grpc/grpc,https://github.com/grpc/grpc,20866
sickn33/agentic-awesome-skills,https://github.com/sickn33/agentic-awesome-skills,794
GitSquared/edex-ui,https://github.com/GitSquared/edex-ui,399
pyenv/pyenv,https://github.com/pyenv/pyenv,1113
coreyhaines31/marketingskills,https://github.com/coreyhaines31/marketingskills,188
MHSanaei/3x-ui,https://github.com/MHSanaei/3x-ui,1048
fastapi/full-stack-fastapi-template,https://github.com/fastapi/full-stack-fastapi-template,727
react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,2315
meteor/meteor,https://github.com/meteor/meteor,2930
DataTalksClub/data-engineering-zoomcamp,https://github.com/DataTalksClub/data-engineering-zoomcamp,462
mitmproxy/mitmproxy,https://github.com/mitmproxy/mitmproxy,2830
sudheerj/reactjs-interview-questions,https://github.com/sudheerj/reactjs-interview-questions,170
vercel/hyper,https://github.com/vercel/hyper,3292
files-community/Files,https://github.com/files-community/Files,5773
vnpy/vnpy,https://github.com/vnpy/vnpy,1077
getsentry/sentry,https://github.com/getsentry/sentry,91191
logseq/logseq,https://github.com/logseq/logseq,3400
spf13/cobra,https://github.com/spf13/cobra,631
charmbracelet/bubbletea,https://github.com/charmbracelet/bubbletea,709
paperless-ngx/paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,3555
NaiboWang/EasySpider,https://github.com/NaiboWang/EasySpider,47
AykutSarac/jsoncrack.com,https://github.com/AykutSarac/jsoncrack.com,91
payloadcms/payload,https://github.com/payloadcms/payload,7708
sharkdp/fd,https://github.com/sharkdp/fd,775
janhq/jan,https://github.com/janhq/jan,3813
parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,2600
streamich/react-use,https://github.com/streamich/react-use,1534
Kong/kong,https://github.com/Kong/kong,6532
zen-browser/desktop,https://github.com/zen-browser/desktop,1219
yangshun/front-end-interview-handbook,https://github.com/yangshun/front-end-interview-handbook,356
babel/babel,https://github.com/babel/babel,6739
lysine-dev/retrofit,https://github.com/lysine-dev/retrofit,1352
astaxie/build-web-application-with-golang,https://github.com/astaxie/build-web-application-with-golang,757
apache/spark,https://github.com/apache/spark,8
DataExpert-io/data-engineer-handbook,https://github.com/DataExpert-io/data-engineer-handbook,181
aymericdamien/TensorFlow-Examples,https://github.com/aymericdamien/TensorFlow-Examples,88
ccxt/ccxt,https://github.com/ccxt/ccxt,15602
ray-project/ray,https://github.com/ray-project/ray,32167
juspay/hyperswitch,https://github.com/juspay/hyperswitch,7604
colinhacks/zod,https://github.com/colinhacks/zod,1153
danielmiessler/Fabric,https://github.com/danielmiessler/Fabric,646
gradio-app/gradio,https://github.com/gradio-app/gradio,5730
Light-City/CPlusPlusThings,https://github.com/Light-City/CPlusPlusThings,78
ziglang/zig,https://github.com/ziglang/zig,9540
alex/what-happens-when,https://github.com/alex/what-happens-when,108
Unitech/pm2,https://github.com/Unitech/pm2,558
Imbad0202/academic-research-skills,https://github.com/Imbad0202/academic-research-skills,412
HeyPuter/puter,https://github.com/HeyPuter/puter,2030
zbezj/HEU_KMS_Activator,https://github.com/zbezj/HEU_KMS_Activator,0
FuelLabs/fuels-rs,https://github.com/FuelLabs/fuels-rs,915
mifi/lossless-cut,https://github.com/mifi/lossless-cut,269
juanfont/headscale,https://github.com/juanfont/headscale,1349
FuelLabs/fuels-ts,https://github.com/FuelLabs/fuels-ts,1979
deepspeedai/DeepSpeed,https://github.com/deepspeedai/DeepSpeed,3173
faif/python-patterns,https://github.com/faif/python-patterns,293
curl/curl,https://github.com/curl/curl,211
k88hudson/git-flight-rules,https://github.com/k88hudson/git-flight-rules,227
mingrammer/diagrams,https://github.com/mingrammer/diagrams,360
apachecn/ailearning,https://github.com/apachecn/ailearning,478
Alamofire/Alamofire,https://github.com/Alamofire/Alamofire,674
danny-avila/LibreChat,https://github.com/danny-avila/LibreChat,4129
imputnet/cobalt,https://github.com/imputnet/cobalt,252
saadeghi/daisyui,https://github.com/saadeghi/daisyui,608
666ghj/BettaFish,https://github.com/666ghj/BettaFish,119
fastlane/fastlane,https://github.com/fastlane/fastlane,6482
LC044/WeChatMsg,https://github.com/LC044/WeChatMsg,62
nolimits4web/swiper,https://github.com/nolimits4web/swiper,629
psf/black,https://github.com/psf/black,1894
agno-agi/agno,https://github.com/agno-agi/agno,3638
heygen-com/hyperframes,https://github.com/heygen-com/hyperframes,2152
hexojs/hexo,https://github.com/hexojs/hexo,1000
aria2/aria2,https://github.com/aria2/aria2,258
freefq/free,https://github.com/freefq/free,0
dylanaraps/pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,28
chubin/cheat.sh,https://github.com/chubin/cheat.sh,129
dcloudio/uni-app,https://github.com/dcloudio/uni-app,583
apache/dubbo,https://github.com/apache/dubbo,6133
sxyazi/yazi,https://github.com/sxyazi/yazi,1276
tabler/tabler,https://github.com/tabler/tabler,949
chatboxai/chatbox,https://github.com/chatboxai/chatbox,81
yarnpkg/yarn,https://github.com/yarnpkg/yarn,1655
hpcaitech/ColossalAI,https://github.com/hpcaitech/ColossalAI,3708
exelban/stats,https://github.com/exelban/stats,455
amruthpillai/reactive-resume,https://github.com/amruthpillai/reactive-resume,938
nwjs/nw.js,https://github.com/nwjs/nw.js,576
XTLS/Xray-core,https://github.com/XTLS/Xray-core,1425
styled-components/styled-components,https://github.com/styled-components/styled-components,1067
luongnv89/claude-howto,https://github.com/luongnv89/claude-howto,69
gkd-kit/gkd,https://github.com/gkd-kit/gkd,16
vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify,4808
bailicangdu/vue2-elm,https://github.com/bailicangdu/vue2-elm,21
vercel-labs/agent-browser,https://github.com/vercel-labs/agent-browser,580
zai-org/ChatGLM-6B,https://github.com/zai-org/ChatGLM-6B,47
goabstract/Awesome-Design-Tools,https://github.com/goabstract/Awesome-Design-Tools,283
QSCTech/zju-icicles,https://github.com/QSCTech/zju-icicles,232
Hmbown/CodeWhale,https://github.com/Hmbown/CodeWhale,1758
ashishps1/awesome-system-design-resources,https://github.com/ashishps1/awesome-system-design-resources,3
vim/vim,https://github.com/vim/vim,440
facebookresearch/faiss,https://github.com/facebookresearch/faiss,137
chatanywhere/GPT_API_free,https://github.com/chatanywhere/GPT_API_free,1
appsmithorg/appsmith,https://github.com/appsmithorg/appsmith,14328
remoteintech/remote-jobs,https://github.com/remoteintech/remote-jobs,1454
PatrickJS/awesome-cursorrules,https://github.com/PatrickJS/awesome-cursorrules,101
bradtraversy/50projects50days,https://github.com/bradtraversy/50projects50days,44
GyulyVGC/sniffnet,https://github.com/GyulyVGC/sniffnet,547
chakra-ui/chakra-ui,https://github.com/chakra-ui/chakra-ui,3018
ToolJet/ToolJet,https://github.com/ToolJet/ToolJet,9088
trpc/trpc,https://github.com/trpc/trpc,3924
duckdb/duckdb,https://github.com/duckdb/duckdb,11677
pingcap/tidb,https://github.com/pingcap/tidb,36066
wg/wrk,https://github.com/wg/wrk,0
LizardByte/Sunshine,https://github.com/LizardByte/Sunshine,2123
nushell/nushell,https://github.com/nushell/nushell,9111
php/php-src,https://github.com/php/php-src,5549
CorentinTh/it-tools,https://github.com/CorentinTh/it-tools,493
ManimCommunity/manim,https://github.com/ManimCommunity/manim,2129
outline/outline,https://github.com/outline/outline,5258
phaserjs/phaser,https://github.com/phaserjs/phaser,1746
microsoft/BitNet,https://github.com/microsoft/BitNet,34
langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,3912
photoprism/photoprism,https://github.com/photoprism/photoprism,959
bojieli/ai-agent-book,https://github.com/bojieli/ai-agent-book,725
gofiber/fiber,https://github.com/gofiber/fiber,2422
google-research/bert,https://github.com/google-research/bert,32
evanw/esbuild,https://github.com/evanw/esbuild,263
schollz/croc,https://github.com/schollz/croc,375
Kong/insomnia,https://github.com/Kong/insomnia,4231
go-gorm/gorm,https://github.com/go-gorm/gorm,790
koalaman/shellcheck,https://github.com/koalaman/shellcheck,346
siddharthvaddem/openscreen,https://github.com/siddharthvaddem/openscreen,195
videojs/video.js,https://github.com/videojs/video.js,1829
llvm/llvm-project,https://github.com/llvm/llvm-project,97256
2noise/ChatTTS,https://github.com/2noise/ChatTTS,223
vadimdemedes/ink,https://github.com/vadimdemedes/ink,323
DeusData/codebase-memory-mcp,https://github.com/DeusData/codebase-memory-mcp,507
novuhq/novu,https://github.com/novuhq/novu,8449
mindsdb/mindshub,https://github.com/mindsdb/mindshub,5923
qbittorrent/qBittorrent,https://github.com/qbittorrent/qBittorrent,4409
floodsung/Deep-Learning-Papers-Reading-Roadmap,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,28
google/styleguide,https://github.com/google/styleguide,201
lm-sys/FastChat,https://github.com/lm-sys/FastChat,852
halo-dev/halo,https://github.com/halo-dev/halo,3229
AstrBotDevs/AstrBot,https://github.com/AstrBotDevs/AstrBot,1715
QuivrHQ/quivr,https://github.com/QuivrHQ/quivr,1824
TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,1888
pola-rs/polars,https://github.com/pola-rs/polars,13691
google/leveldb,https://github.com/google/leveldb,65
freeCodeCamp/devdocs,https://github.com/freeCodeCamp/devdocs,1018
suno-ai/bark,https://github.com/suno-ai/bark,19
ShareX/ShareX,https://github.com/ShareX/ShareX,0
drawdb-io/drawdb,https://github.com/drawdb-io/drawdb,439
HKUDS/LightRAG,https://github.com/HKUDS/LightRAG,1564
wshobson/agents,https://github.com/wshobson/agents,169
google/googletest,https://github.com/google/googletest,834
datalab-to/marker,https://github.com/datalab-to/marker,233
deepseek-ai/awesome-deepseek-integration,https://github.com/deepseek-ai/awesome-deepseek-integration,288
aseprite/aseprite,https://github.com/aseprite/aseprite,551
YunaiV/ruoyi-vue-pro,https://github.com/YunaiV/ruoyi-vue-pro,78
mattermost/mattermost,https://github.com/mattermost/mattermost,22327
rapid7/metasploit-framework,https://github.com/rapid7/metasploit-framework,12050
RSSNext/Folo,https://github.com/RSSNext/Folo,1517
preactjs/preact,https://github.com/preactjs/preact,2085
DioxusLabs/dioxus,https://github.com/DioxusLabs/dioxus,2083
Dogfalo/materialize,https://github.com/Dogfalo/materialize,449
spacedriveapp/spacedrive,https://github.com/spacedriveapp/spacedrive,1968
lapce/lapce,https://github.com/lapce/lapce,1184
ajeetdsouza/zoxide,https://github.com/ajeetdsouza/zoxide,264
ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,1181
Yeachan-Heo/oh-my-claudecode,https://github.com/Yeachan-Heo/oh-my-claudecode,1670
bytedance/UI-TARS-desktop,https://github.com/bytedance/UI-TARS-desktop,1074
naptha/tesseract.js,https://github.com/naptha/tesseract.js,205
gto76/python-cheatsheet,https://github.com/gto76/python-cheatsheet,0
google-research/google-research,https://github.com/google-research/google-research,34
chatchat-space/Langchain-Chatchat,https://github.com/chatchat-space/Langchain-Chatchat,621
huiyadanli/RevokeMsgPatcher,https://github.com/huiyadanli/RevokeMsgPatcher,14
kilimchoi/engineering-blogs,https://github.com/kilimchoi/engineering-blogs,681
google/langextract,https://github.com/google/langextract,121
httpie/cli,https://github.com/httpie/cli,406
dotnet/aspnetcore,https://github.com/dotnet/aspnetcore,19852
istio/istio,https://github.com/istio/istio,30588
frappe/erpnext,https://github.com/frappe/erpnext,32172
portainer/portainer,https://github.com/portainer/portainer,4786
umami-software/umami,https://github.com/umami-software/umami,960
sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,185
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,191
impress/impress.js,https://github.com/impress/impress.js,125
huihut/interview,https://github.com/huihut/interview,36
ueberdosis/tiptap,https://github.com/ueberdosis/tiptap,1801
xyflow/xyflow,https://github.com/xyflow/xyflow,1602
github/awesome-copilot,https://github.com/github/awesome-copilot,1256
docker/compose,https://github.com/docker/compose,3978
harness/harness,https://github.com/harness/harness,1060
hyprwm/Hyprland,https://github.com/hyprwm/Hyprland,2929
PostHog/posthog,https://github.com/PostHog/posthog,54752
Wei-Shaw/sub2api,https://github.com/Wei-Shaw/sub2api,1456
vlang/v,https://github.com/vlang/v,13797
FreeCodeCampChina/freecodecamp.cn,https://github.com/FreeCodeCampChina/freecodecamp.cn,55
servo/servo,https://github.com/servo/servo,25770
anthropics/prompt-eng-interactive-tutorial,https://github.com/anthropics/prompt-eng-interactive-tutorial,1
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,https://github.com/RVC-Project/Retrieval-based-Voice-Conversion-WebUI,0
denysdovhan/wtfjs,https://github.com/denysdovhan/wtfjs,127
TencentARC/GFPGAN,https://github.com/TencentARC/GFPGAN,14
NervJS/taro,https://github.com/NervJS/taro,3498
shiyu-coder/Kronos,https://github.com/shiyu-coder/Kronos,19
fengdu78/Coursera-ML-AndrewNg-Notes,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes,14
aquasecurity/trivy,https://github.com/aquasecurity/trivy,3715
TriliumNext/Trilium,https://github.com/TriliumNext/Trilium,3195
karpathy/LLM101n,https://github.com/karpathy/LLM101n,0
alibaba/arthas,https://github.com/alibaba/arthas,626
directus/directus,https://github.com/directus/directus,9179
alebcay/awesome-shell,https://github.com/alebcay/awesome-shell,307
stanfordnlp/dspy,https://github.com/stanfordnlp/dspy,1702
PKUanonym/REKCARC-TSC-UHT,https://github.com/PKUanonym/REKCARC-TSC-UHT,198
LAION-AI/Open-Assistant,https://github.com/LAION-AI/Open-Assistant,1616
pbatard/rufus,https://github.com/pbatard/rufus,1
exacity/deeplearningbook-chinese,https://github.com/exacity/deeplearningbook-chinese,16
eugenp/tutorials,https://github.com/eugenp/tutorials,13834
openai/gym,https://github.com/openai/gym,1000
0voice/interview_internal_reference,https://github.com/0voice/interview_internal_reference,35
myshell-ai/OpenVoice,https://github.com/myshell-ai/OpenVoice,18
SagerNet/sing-box,https://github.com/SagerNet/sing-box,210
lfnovo/open-notebook,https://github.com/lfnovo/open-notebook,460
IceWhaleTech/CasaOS,https://github.com/IceWhaleTech/CasaOS,275
huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,559
markedjs/marked,https://github.com/markedjs/marked,1740
satwikkansal/wtfpython,https://github.com/satwikkansal/wtfpython,113
patchy631/ai-engineering-hub,https://github.com/patchy631/ai-engineering-hub,68
fastify/fastify,https://github.com/fastify/fastify,3449
mouredev/Hello-Python,https://github.com/mouredev/Hello-Python,0
Textualize/textual,https://github.com/Textualize/textual,2311
AobingJava/JavaFamily,https://github.com/AobingJava/JavaFamily,2
babysor/MockingBird,https://github.com/babysor/MockingBird,82
soxoj/maigret,https://github.com/soxoj/maigret,1067
CopilotKit/CopilotKit,https://github.com/CopilotKit/CopilotKit,3907
shadowsocks/shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,258
blader/humanizer,https://github.com/blader/humanizer,25
musistudio/claude-code-router,https://github.com/musistudio/claude-code-router,77
ashishpatel26/500-AI-Agents-Projects,https://github.com/ashishpatel26/500-AI-Agents-Projects,17
Dokploy/dokploy,https://github.com/Dokploy/dokploy,1681
veggiemonk/awesome-docker,https://github.com/veggiemonk/awesome-docker,1057
google-ai-edge/mediapipe,https://github.com/google-ai-edge/mediapipe,201
microsoft/Data-Science-For-Beginners,https://github.com/microsoft/Data-Science-For-Beginners,497
ZuodaoTech/everyone-can-use-english,https://github.com/ZuodaoTech/everyone-can-use-english,464
typeorm/typeorm,https://github.com/typeorm/typeorm,2669
date-fns/date-fns,https://github.com/date-fns/date-fns,1073
jaywcjlove/linux-command,https://github.com/jaywcjlove/linux-command,377
mpv-player/mpv,https://github.com/mpv-player/mpv,4136
HKUDS/DeepTutor,https://github.com/HKUDS/DeepTutor,292
khoj-ai/khoj,https://github.com/khoj-ai/khoj,500
1Panel-dev/1Panel,https://github.com/1Panel-dev/1Panel,5367
xinntao/Real-ESRGAN,https://github.com/xinntao/Real-ESRGAN,21
inkonchain/docs,https://github.com/inkonchain/docs,418
songquanpeng/one-api,https://github.com/songquanpeng/one-api,287
nextcloud/server,https://github.com/nextcloud/server,34204
hankcs/HanLP,https://github.com/hankcs/HanLP,79
doocs/leetcode,https://github.com/doocs/leetcode,4704
inkonchain/node,https://github.com/inkonchain/node,40
glanceapp/glance,https://github.com/glanceapp/glance,118
open-guides/og-aws,https://github.com/open-guides/og-aws,498
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,3
tinyhumansai/openhuman,https://github.com/tinyhumansai/openhuman,3019
GorvGoyl/Clone-Wars,https://github.com/GorvGoyl/Clone-Wars,130
inkonchain/ink-kit,https://github.com/inkonchain/ink-kit,91
formulahendry/955.WLB,https://github.com/formulahendry/955.WLB,18
SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,106
keycloak/keycloak,https://github.com/keycloak/keycloak,21046
reworkd/AgentGPT,https://github.com/reworkd/AgentGPT,541
microsoft/playwright-mcp,https://github.com/microsoft/playwright-mcp,541
ItzCrazyKns/Vane,https://github.com/ItzCrazyKns/Vane,87
AdguardTeam/AdGuardHome,https://github.com/AdguardTeam/AdGuardHome,125
PDFMathTranslate/PDFMathTranslate,https://github.com/PDFMathTranslate/PDFMathTranslate,154
Yuan1z0825/nature-skills,https://github.com/Yuan1z0825/nature-skills,138
jax-ml/jax,https://github.com/jax-ml/jax,20714
firecracker-microvm/firecracker,https://github.com/firecracker-microvm/firecracker,3700
hashicorp/vault,https://github.com/hashicorp/vault,21334
pnpm/pnpm,https://github.com/pnpm/pnpm,4737
geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,26
carbon-app/carbon,https://github.com/carbon-app/carbon,669
lerna/lerna,https://github.com/lerna/lerna,1080
Crosstalk-Solutions/project-nomad,https://github.com/Crosstalk-Solutions/project-nomad,409
slatedocs/slate,https://github.com/slatedocs/slate,298
chatwoot/chatwoot,https://github.com/chatwoot/chatwoot,6268
zsh-users/zsh-autosuggestions,https://github.com/zsh-users/zsh-autosuggestions,116
medusajs/medusa,https://github.com/medusajs/medusa,9312
filebrowser/filebrowser,https://github.com/filebrowser/filebrowser,847
OpenBMB/VoxCPM,https://github.com/OpenBMB/VoxCPM,25
wailsapp/wails,https://github.com/wailsapp/wails,2122
solidjs/solid,https://github.com/solidjs/solid,457
searxng/searxng,https://github.com/searxng/searxng,3145
XingangPan/DragGAN,https://github.com/XingangPan/DragGAN,18
