repositorio,url,pull_requests_aceitas
harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,204
immich-app/immich,https://github.com/immich-app/immich,10035
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,1245
tauri-apps/tauri,https://github.com/tauri-apps/tauri,5676
microsoft/TypeScript,https://github.com/microsoft/TypeScript,14894
browser-use/browser-use,https://github.com/browser-use/browser-use,1897
VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,6
axios/axios,https://github.com/axios/axios,1483
fatedier/frp,https://github.com/fatedier/frp,861
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,444
Graphify-Labs/graphify,https://github.com/Graphify-Labs/graphify,135
denoland/deno,https://github.com/denoland/deno,16464
supabase/supabase,https://github.com/supabase/supabase,18711
openai/whisper,https://github.com/openai/whisper,122
openai/codex,https://github.com/openai/codex,9696
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,6659
DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,174
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,766
microsoft/terminal,https://github.com/microsoft/terminal,4521
deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,25
react/create-react-app,https://github.com/react/create-react-app,1949
rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,507
pytorch/pytorch,https://github.com/pytorch/pytorch,6601
Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,646
neovim/neovim,https://github.com/neovim/neovim,19670
fastapi/fastapi,https://github.com/fastapi/fastapi,3569
angular/angular,https://github.com/angular/angular,7381
ruanyf/weekly,https://github.com/ruanyf/weekly,120
mtdvio/every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,109
JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,59
ant-design/ant-design,https://github.com/ant-design/ant-design,18245
TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,27
mui/material-ui,https://github.com/mui/material-ui,22184
nvbn/thefuck,https://github.com/nvbn/thefuck,482
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,3476
florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,151
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,689
hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,122
oven-sh/bun,https://github.com/oven-sh/bun,9795
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,6212
microsoft/playwright,https://github.com/microsoft/playwright,17724
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,149
nvm-sh/nvm,https://github.com/nvm-sh/nvm,761
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,1578
karpathy/autoresearch,https://github.com/karpathy/autoresearch,7
earendil-works/pi,https://github.com/earendil-works/pi,913
punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,3392
deepseek-ai/DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,10
3b1b/manim,https://github.com/3b1b/manim,702
thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,510
ruvnet/RuView,https://github.com/ruvnet/RuView,405
storybookjs/storybook,https://github.com/storybookjs/storybook,13141
opencv/opencv,https://github.com/opencv/opencv,14064
louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,1816
PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,311
home-assistant/core,https://github.com/home-assistant/core,90168
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,16834
