repositorio,url,total_releases
ruvnet/RuView,https://github.com/ruvnet/RuView,282
opencv/opencv,https://github.com/opencv/opencv,69
louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,131
PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,49
home-assistant/core,https://github.com/home-assistant/core,1000
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,68
mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,201
Stirling-Tools/Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,186
sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,2
modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,27
microsoft/ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,0
gohugoio/hugo,https://github.com/gohugoio/hugo,381
vllm-project/vllm,https://github.com/vllm-project/vllm,103
gin-gonic/gin,https://github.com/gin-gonic/gin,29
astral-sh/uv,https://github.com/astral-sh/uv,303
nexu-io/open-design,https://github.com/nexu-io/open-design,27
zed-industries/zed,https://github.com/zed-industries/zed,1000
infiniflow/ragflow,https://github.com/infiniflow/ragflow,52
localsend/localsend,https://github.com/localsend/localsend,26
ChatGPTNextWeb/NextChat,https://github.com/ChatGPTNextWeb/NextChat,77
MunGell/awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,0
django/django,https://github.com/django/django,0
addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,9
sveltejs/svelte,https://github.com/sveltejs/svelte,635
PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,33
syncthing/syncthing,https://github.com/syncthing/syncthing,478
ByteByteGoHq/system-design-101,https://github.com/ByteByteGoHq/system-design-101,0
odysseus-dev/odysseus,https://github.com/odysseus-dev/odysseus,0
laravel/laravel,https://github.com/laravel/laravel,227
OpenCut-app/OpenCut,https://github.com/OpenCut-app/OpenCut,3
macrozheng/mall,https://github.com/macrozheng/mall,3
OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,133
bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,0
DopplerHQ/awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,0
realworld-apps/realworld,https://github.com/realworld-apps/realworld,0
Developer-Y/cs-video-courses,https://github.com/Developer-Y/cs-video-courses,0
koala73/worldmonitor,https://github.com/koala73/worldmonitor,43
