repositorio,url,ultima_atualizacao,dias_desde_ultima_atualizacao
kuchin/awesome-cto,https://github.com/kuchin/awesome-cto,2026-08-18T20:21:31Z,0.0
tailscale/tailscale,https://github.com/tailscale/tailscale,2026-08-18T19:21:24Z,0.05
nativefier/nativefier,https://github.com/nativefier/nativefier,2026-08-17T06:25:51Z,1.58
typicode/husky,https://github.com/typicode/husky,2026-08-18T13:47:33Z,0.28
geekcomputers/Python,https://github.com/geekcomputers/Python,2026-08-18T18:20:45Z,0.09
sahat/hackathon-starter,https://github.com/sahat/hackathon-starter,2026-08-18T19:20:19Z,0.05
VectifyAI/PageIndex,https://github.com/VectifyAI/PageIndex,2026-08-18T18:35:18Z,0.08
blakeblackshear/frigate,https://github.com/blakeblackshear/frigate,2026-08-18T20:25:47Z,0.0
fxsjy/jieba,https://github.com/fxsjy/jieba,2026-08-18T16:25:25Z,0.17
geekan/HowToLiveLonger,https://github.com/geekan/HowToLiveLonger,2026-08-18T09:06:23Z,0.47
utmapp/UTM,https://github.com/utmapp/UTM,2026-08-18T18:37:35Z,0.08
unknwon/the-way-to-go_ZH_CN,https://github.com/unknwon/the-way-to-go_ZH_CN,2026-08-18T02:00:17Z,0.77
netty/netty,https://github.com/netty/netty,2026-08-18T17:10:09Z,0.14
DayuanJiang/next-ai-draw-io,https://github.com/DayuanJiang/next-ai-draw-io,2026-08-18T19:50:51Z,0.03
bumptech/glide,https://github.com/bumptech/glide,2026-08-18T05:42:28Z,0.61
sorrycc/awesome-javascript,https://github.com/sorrycc/awesome-javascript,2026-08-18T08:00:53Z,0.52
hehonghui/awesome-english-ebooks,https://github.com/hehonghui/awesome-english-ebooks,2026-08-18T17:06:27Z,0.14
zellij-org/zellij,https://github.com/zellij-org/zellij,2026-08-18T19:44:11Z,0.03
awesome-foss/awesome-sysadmin,https://github.com/awesome-foss/awesome-sysadmin,2026-08-18T19:32:49Z,0.04
laravel/framework,https://github.com/laravel/framework,2026-08-18T20:31:24Z,-0.0
gitroomhq/postiz-app,https://github.com/gitroomhq/postiz-app,2026-08-18T19:04:21Z,0.06
esengine/DeepSeek-Reasonix,https://github.com/esengine/DeepSeek-Reasonix,2026-08-18T20:20:04Z,0.0
facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,2026-08-18T16:38:59Z,0.16
qishibo/AnotherRedisDesktopManager,https://github.com/qishibo/AnotherRedisDesktopManager,2026-08-18T14:25:12Z,0.25
TheAlgorithms/C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,2026-08-18T16:37:11Z,0.16
BVLC/caffe,https://github.com/BVLC/caffe,2026-08-18T17:29:27Z,0.12
lissy93/web-check,https://github.com/lissy93/web-check,2026-08-18T20:15:42Z,0.01
ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,2026-08-18T19:33:39Z,0.04
v2fly/v2ray-core,https://github.com/v2fly/v2ray-core,2026-08-18T15:50:02Z,0.19
kovidgoyal/kitty,https://github.com/kovidgoyal/kitty,2026-08-18T18:26:05Z,0.08
