integrante,kata,tratamento,tipo_registro,arquivo,inicio_testes_utc,duracao_testes_segundos,status_testes,casos_aprovados,casos_executados,total_casos,codigo_saida,python,sha256_solucao,log
Codex,ConsumoEnergetico,COM_IA,VALIDACAO_TECNICA,Codex__ConsumoEnergetico__COM_IA.py,2026-09-18T02:56:20.021991+00:00,0.114081,APROVADO,26,26,26,0,3.9.6,ba62a0db33f1583ee56553f1ef91c23447121de0d16c674ab5be0bff00733da6,logs/Codex__ConsumoEnergetico__COM_IA.txt
Codex,ExcessoBagagem,COM_IA,VALIDACAO_TECNICA,Codex__ExcessoBagagem__COM_IA.py,2026-09-18T02:56:20.136621+00:00,0.08109,APROVADO,26,26,26,0,3.9.6,2d14801651b0d8e3f9afc6663626a37e7a1941feda96645324141a0d785d2981,logs/Codex__ExcessoBagagem__COM_IA.txt
Codex,MetaProducao,COM_IA,VALIDACAO_TECNICA,Codex__MetaProducao__COM_IA.py,2026-09-18T02:56:20.218175+00:00,0.113691,APROVADO,26,26,26,0,3.9.6,6c8fd2ed67b24cf302e03c9f1ccee1bb523c52e06f1e45d6a52dc3467b85bc9c,logs/Codex__MetaProducao__COM_IA.txt
Codex,ReposicaoEstoque,COM_IA,VALIDACAO_TECNICA,Codex__ReposicaoEstoque__COM_IA.py,2026-09-18T02:56:20.332423+00:00,0.082381,APROVADO,26,26,26,0,3.9.6,8b14a49c0629ad9e4d8d52d1ce0f6b020342460e75cf6e623b8a96176ac71b78,logs/Codex__ReposicaoEstoque__COM_IA.txt
